T22   ,389445.611,233384.191,10.999
T21   ,389435.601,233379.397,11.252
T20   ,389436.592,233372.544,11.254
RTCM-Ref 0179,386583.825,261532.276,37.472
T19   ,389437.333,233368.065,11.256
T18   ,389438.105,233368.520,10.789
T17   ,389435.272,233364.542,12.022
T16   ,389435.509,233363.328,10.948
T15   ,389436.474,233359.652,10.806
T14   ,389430.575,233348.236,12.005
T13   ,389427.274,233355.271,10.734
T12   ,389427.125,233355.059,10.887
T11   ,389426.978,233354.791,11.038
T10   ,389426.801,233354.550,11.187
T09   ,389426.620,233354.303,11.335
T08   ,389426.436,233354.076,11.485
T07   ,389426.232,233353.818,11.633
T06   ,389426.076,233353.581,11.782
T05   ,389425.878,233353.354,11.939
T04   ,389425.229,233352.158,12.166
T03   ,389491.314,233375.177,16.102
T02   ,389494.508,233382.205,16.375
T01   ,389487.848,233377.119,16.124
RTCM-Ref 0227,379327.634,204538.521,26.860
