E02,402992.065,243660.745,21.959,,,,
E02,402992.065,243660.745,21.959,,,,
E03,402923.198,243656.209,27.581,,,,
E04,402979.326,243639.496,21.772,,,,
E05,402978.086,243643.647,21.654,,,,
E06,402978.044,243643.629,22.597,,,,
E07,402979.156,243646.053,22.091,,,,
E08,402981.510,243650.974,22.885,,,,
E09,402987.678,243647.243,22.604,,,,
E10,402985.778,243659.254,22.452,,,,
E11,402985.485,243662.123,22.291,,,,
E12,402980.270,243663.454,21.847,,,,
E13,402973.606,243658.330,22.045,,,,
E14,402979.278,243667.512,21.757,,,,
E15,402977.840,243666.709,21.756,,,,
E16,402990.152,243690.911,22.115,,,,
E17,402994.020,243704.174,22.194,,,,
E18,402933.428,243652.233,21.476,,,,
E19,402933.245,243654.551,21.907,,,,
E20,402933.393,243652.224,21.606,,,,
E99,402997.920,243663.633,21.948,,,,
E99,,,,,,,
E99,,,,,,,
