DL01,384721.495,253357.401,14.405,,,,
DL02,384721.495,253357.401,14.405,,,,
DL02,384721.495,253357.401,14.405,,,,
DL03,384691.151,253402.083,17.777,,,,
DL04,384699.345,253385.104,15.710,,,,
DL05,384700.005,253389.796,15.312,,,,
DL06,384698.959,253390.099,15.304,,,,
DL07,384698.990,253389.929,14.307,,,,
DL08,384706.030,253382.041,15.193,,,,
DL09,384705.973,253381.964,14.028,,,,
DL10,384704.904,253377.293,15.175,,,,
DL11,384704.846,253377.228,14.037,,,,
DL12,384700.916,253366.455,14.559,,,,
DL13,384701.112,253366.373,14.059,,,,
DL14,384705.570,253365.183,14.036,,,,
DL15,384706.399,253359.864,14.731,,,,
DL16,384703.078,253363.472,15.664,,,,
DL17,384722.796,253360.846,14.877,,,,
DL18,384722.675,253360.706,14.193,,,,
DL19,384721.271,253353.878,15.720,,,,
DL20,384721.235,253353.890,14.788,,,,
DL21,384721.271,253353.924,14.258,,,,
DL22,384719.484,253351.068,14.176,,,,
DL23,384719.501,253351.049,15.461,,,,
DL24,384712.630,253352.760,14.349,,,,
DL25,384712.572,253352.738,15.287,,,,
DL26,384712.557,253351.525,14.782,,,,
DL27,384717.193,253349.140,15.845,,,,
DL28,384728.983,253343.758,14.270,,,,
DL29,384728.980,253343.685,15.346,,,,
DL30,384734.163,253343.370,16.273,,,,
DL31,384734.478,253344.962,15.720,,,,
DL32,384735.473,253356.762,14.920,,,,
DL33,384735.500,253356.952,14.306,,,,
DL34,384688.304,253263.053,16.500,,,,
DL35,384717.811,253348.821,15.655,,,,
DL36,384700.913,253309.468,14.717,,,,
DL37,384700.922,253309.489,14.219,,,,
DL38,384695.963,253269.547,15.796,,,,
DL39,384700.694,253329.793,15.713,,,,
DL40,384700.694,253329.794,15.096,,,,
DL41,384700.747,253329.776,16.498,,,,
DL42,384739.392,253359.727,15.227,,,,
DL43,384735.986,253361.390,12.703,,,,
DL44,384739.030,253366.814,12.918,,,,
DL45,384739.132,253366.883,13.292,,,,
DL46,384741.838,253363.623,14.189,,,,
DL47,384741.853,253363.657,15.188,,,,
DL99,384724.329,253349.180,14.450,,,,
DL99,,,,,,,
