DL02,384721.495,253357.401,14.405,,,,
T01,389487.848,233377.119,16.124,,,,
T02,389487.848,233377.119,16.124,,,,
T02,389487.848,233377.119,16.124,,,,
T03,389487.848,233377.119,16.124,,,,
T03,389487.848,233377.119,16.124,,,,
T04,389466.950,233394.435,16.080,,,,
T05,389448.965,233386.627,10.720,,,,
T06,389446.851,233387.142,11.583,,,,
T07,389447.136,233383.453,10.809,,,,
T08,389444.841,233381.624,10.814,,,,
T09,389446.383,233381.533,11.380,,,,
T10,389435.606,233378.392,11.018,,,,
T11,389439.748,233368.014,10.778,,,,
T12,389437.399,233361.286,10.809,,,,
T13,389440.178,233366.494,12.526,,,,
T14,389436.305,233358.184,11.193,,,,
T15,389436.316,233358.188,10.526,,,,
T16,389433.157,233351.219,10.658,,,,
T17,389430.438,233347.499,10.261,,,,
T18,389426.329,233341.571,10.300,,,,
T19,389426.384,233341.603,11.257,,,,
T20,389423.129,233337.051,11.093,,,,
T21,389412.362,233322.804,12.005,,,,
T22,389418.146,233331.017,11.981,,,,
T23,389406.610,233313.816,11.984,,,,
T24,389404.477,233310.764,11.064,,,,
T25,389401.700,233306.568,11.090,,,,
T26,389395.724,233296.143,11.063,,,,
T27,389394.022,233293.787,10.377,,,,
T28,389363.507,233251.105,12.551,,,,
T29,389376.582,233308.104,14.308,,,,
T30,389376.485,233308.043,16.695,,,,
T31,389424.922,233352.293,12.157,,,,
T32,389423.487,233353.539,12.014,,,,
T33,389368.800,233333.038,9.467,,,,
T34,389435.792,233366.727,16.748,,,,
T35,389433.873,233380.027,16.454,,,,
T36,389420.499,233388.589,12.166,,,,
T37,389420.879,233389.470,10.693,,,,
T98,389494.508,233382.205,16.375,,,,
T98,,,,,,,
T98,,,,,,,
T99,389494.508,233382.205,16.375,,,,
