SL01,391533.865,240474.016,11.985,,,,
SL01,391533.865,240474.016,11.985,,,,
SL02,391564.368,240449.131,15.520,,,,
SL03,391534.019,240478.986,11.105,,,,
SL04,391534.202,240479.045,11.716,,,,
SL05,391534.077,240479.051,12.241,,,,
SL06,391531.479,240480.488,11.171,,,,
SL07,391531.477,240480.486,12.509,,,,
SL08,391531.539,240480.599,13.108,,,,
SL09,391531.429,240480.590,13.613,,,,
SL10,391526.164,240483.696,13.675,,,,
SL11,391526.164,240483.697,13.674,,,,
SL12,391526.298,240483.671,13.151,,,,
SL13,391526.271,240483.553,12.512,,,,
SL14,391518.429,240485.241,12.604,,,,
SL15,391518.366,240485.193,14.315,,,,
SL16,391516.246,240482.544,12.340,,,,
SL17,391516.152,240482.514,14.133,,,,
SL18,391518.588,240480.323,12.903,,,,
SL19,391520.907,240481.247,13.086,,,,
SL20,391521.723,240481.608,13.164,,,,
SL21,391523.347,240477.955,12.023,,,,
SL22,391523.266,240477.855,12.896,,,,
SL23,391527.250,240475.639,11.975,,,,
SL24,391527.152,240475.590,12.865,,,,
SL25,391530.562,240473.783,11.989,,,,
SL26,391530.442,240473.819,12.883,,,,
SL27,391541.136,240470.932,12.917,,,,
SL28,391540.495,240470.488,12.853,,,,
SL29,391538.310,240469.070,12.647,,,,
SL30,391515.484,240471.242,13.167,,,,
SL31,391515.432,240472.033,13.097,,,,
SL32,391515.283,240474.617,12.906,,,,
SL33,391519.267,240471.947,12.812,,,,
SL34,391519.344,240471.936,11.955,,,,
SL35,391524.235,240469.156,12.751,,,,
SL36,391524.351,240469.172,11.885,,,,
SL37,391534.686,240460.189,12.843,,,,
SL38,391534.668,240459.441,12.898,,,,
SL39,,,,,,,
SL98,391528.005,240481.563,12.331,,,,
SL98,,,,,,,
SL99,391528.005,240481.563,12.331,,,,
